attempt,status,description,strategy_sha256,days,total_return,annual_return,sharpe,max_drawdown,mean_turnover
0012,discard,Breakout hypothesis: new prior-20-session closing high enters; below prior-10-session low exits.,9424d383a9f4a7775d385809d648fc4ba8135532e65264a4400606dc38a54f3d,726,-0.1861682156911908,-0.0690080825027175,-0.432719230967191,0.2277527445289509,0.05234159779614325
0013,keep,Reversal persistence: retain RSI14 entry<30 but exit only at70 to capture a larger rebound.,e9ca2f7456ec7d46c6802e8ba73384e2c1f1c2d612d3ac26c10cae078ea93950,726,0.22705438773915554,0.07360689099809892,0.5711625334429988,0.1480251079673376,0.011019283746556474
0014,discard,"Faster reversal oscillator: RSI7 enters below25 and exits above65, testing shorter rebound horizons.",da883e92bc24782fdf39c96f08b1641e01c3e73933dc7a38207959f20b64ce05,726,0.0005356000296945496,0.00018587825819915693,0.06274796543520925,0.2596654928829125,0.01928374655647383
0015,discard,"Very short reversal: RSI2<10 entry and RSI2>70 exit, testing rapid oversold recovery after execution lag.",3351e62ea1713844b054eefc8c0e30d70f2a3e95e126ae78d85730120e90c43c,726,0.07032487602483628,0.02387064331211719,0.25731526864890303,0.18646657235975828,0.10192837465564739
0016,discard,Bollinger reversion: close below lower20/2 band enters; recovery to middle band exits.,22bba154c7cca10b118930a264f27a4fab9668b4a91972b2093d23b19e99ddf5,726,0.051549727630303854,0.017600452061892646,0.21147499507054107,0.1848697697277173,0.03581267217630854
0017,keep,Broad mean reversion: deviation below SMA20 of more than5% enters; reclaiming average exits.,ba5ca409d7eef74bd3b08faba8d58ffd2feeaba1fcc8578c5edec52efb65e34d,726,0.22975821466950097,0.07442745441993326,0.8125194828380803,0.09346484262172405,0.01928374655647383
0018,discard,Reversal trend filter: RSI14<30 entries only above SMA120; RSI14>55 exits.,986e7c890be83d0028f9fd464995b2bc5b3619d20b10ccdd8e2f9ed0ad634070,726,0.0,0.0,0.0,0.0,0
0019,keep,Reversal risk control: original RSI14 30/55 with8% signal-close drawdown stop from entry.,a0740397b038872c997761a1e40059facabdb7acd464fa4187e3dc980782b38a,726,0.23335248877394665,0.07551643109709882,0.8049366682222575,0.11363529850342391,0.01928374655647383
0020,keep,Reversal holding cap: original RSI14 30/55 exits after20 signal sessions if recovery stalls.,a9f12e396908fddf744c72cdf287f1027e3be2dc62072723cccd711a9fe95d7a,726,0.2612046213784347,0.08388552201832011,0.8650410789434949,0.0986802709798611,0.01928374655647383
0021,discard,Reversal without fixed overbought threshold: RSI14<30 entry; positive MACD histogram exits.,e5b1a66a03200b95b869be117f56d9c5d255e41201ccc2c63ba875a30176a1d0,726,0.1679668330532893,0.05537215525493577,0.7486521569526817,0.07225556741594841,0.01928374655647383
0022,discard,Price-only rebound: three consecutive declining closes enters; two rising closes exits.,e786399746b575269acb768c18700a11819beb93db931703f2a9c2d373c4cd23,726,-0.1470991028327101,-0.05373150687113504,-0.46139087108005256,0.21364889730932202,0.0881542699724518
0023,discard,"Train-only conditional-return model using rsi14 bins: at least40 training examples,100 pseudo-observation shrinkage; expected-return entry>5bp, exit<0. No validation labels used for fitting.",d0defb5af11e9cc89f40ef04cc9464e74efea8f665486809e78c431c273854a4,726,-0.002076430785731276,-0.0007212336816863063,0.06318912488668721,0.17473821944812273,0.03581267217630854
0024,discard,"Train-only conditional-return model using deviation20 bins: at least40 training examples,100 pseudo-observation shrinkage; expected-return entry>5bp, exit<0. No validation labels used for fitting.",b3da1c9cbb8bf84d50c57c5c4f5fa915bb52922b9b2d2dc0771f892c01536244,726,0.027323896144604953,0.009400980384743685,0.13665389573067915,0.22370456923650806,0.2396694214876033
0025,discard,"Train-only conditional-return model using joint bins: at least40 training examples,100 pseudo-observation shrinkage; expected-return entry>5bp, exit<0. No validation labels used for fitting.",f859d78d2cb4e388b6c763de72d0d249d4a7740478e74c9b071f00aa480d142e,726,0.1549083861456373,0.05126139085914705,0.4745791874305453,0.13690331202372774,0.04132231404958678
0026,discard,Holding-duration sensitivity: retain RSI14 30/55 reversal but set maximum holding to10 sessions; compare20-session champion without changing other signals.,69722d22949472664026ff0bbe9d329eb24980a75e47cf7328a863f85c1ad587,726,0.24420874127436787,0.0787930807130004,0.9667071698440214,0.07166921472637222,0.01928374655647383
0027,discard,Holding-duration sensitivity: retain RSI14 30/55 reversal but set maximum holding to30 sessions; compare20-session champion without changing other signals.,64f5dc28e80e191fbdf77747bb66060108a07de053e1a45eeeb2f7bc28dc419b,726,0.1825058104953734,0.0599138354156048,0.616196384159861,0.11414698948838276,0.01652892561983471
0028,discard,Holding-duration sensitivity: retain RSI14 30/55 reversal but set maximum holding to40 sessions; compare20-session champion without changing other signals.,7ad8c24ef51f0a3d6e71714cdfee47845a119fc680367bc4dd49be65378f0ccb,726,0.09440719827164479,0.031808976447763815,0.3577763718601387,0.2173028090385246,0.013774104683195593
0029,discard,"Combine two previously useful controls: RSI14 30/55,20-session cap and8% entry-signal-price loss stop.",8f377c0ac81fb48f3058467c5b6c411c861f722ecd10b055370fb046f4a31e9c,726,0.20560344738269176,0.06705469103295458,0.7527901642493507,0.1299412324165986,0.01928374655647383
0030,discard,"Literature-inspired bounded mean-reversion entry: zscore(20) in(-3.0,-1.5), exit>0.0, stop<-3.5,20-session cap. Methodological inspiration: Leung and Li,2014-11-18,https://arxiv.org/abs/1411.5062 ; heuristic adaptation to index deviations, not replication of optimal OU spread solution.",329aa2981bcfcc3463f244a7b46696064ac250abb42eb11e67bc7318c053b9dc,726,0.054921608281926604,0.01873188689519867,0.2151892866038662,0.19916566546597392,0.05509641873278237
0031,discard,"Literature-inspired bounded mean-reversion entry: zscore(60) in(-3.0,-1.5), exit>0.0, stop<-3.5,20-session cap. Methodological inspiration: Leung and Li,2014-11-18,https://arxiv.org/abs/1411.5062 ; heuristic adaptation to index deviations, not replication of optimal OU spread solution.",c1683b6a345e68caff6af271a1324eefaf1d1ce280e39eac59832fdd9dc2a277,726,-0.01503907850092756,-0.005246018704929245,0.014394582930073044,0.2523606182485,0.03856749311294766
0032,discard,"Literature-inspired bounded mean-reversion entry: zscore(20) in(-2.5,-1.0), exit>0.5, stop<-3.0,20-session cap. Methodological inspiration: Leung and Li,2014-11-18,https://arxiv.org/abs/1411.5062 ; heuristic adaptation to index deviations, not replication of optimal OU spread solution.",c70f2ea0fa6b81d6751cab7ebb154c9dc5b4c9f8466a8e0cee8cdfd9d40c6957,726,0.013018085838402582,0.004499607942539674,0.09938226428614791,0.2589792954577297,0.0743801652892562
0033,discard,"Entry sensitivity around current RSI14 champion: entry<25, unchanged55 exit and20-session cap; measure breadth versus catching falling prices.",3284c4aa5ed5deb9597762ed0ffb5286af414afdd43821c45d128d1df3a51957,726,0.09167955894158242,0.03091561971246537,0.48759411639282113,0.09346484262172416,0.008264462809917356
0034,discard,"Entry sensitivity around current RSI14 champion: entry<35, unchanged55 exit and20-session cap; measure breadth versus catching falling prices.",889faea6ddc22ef864234f099e9890147a749c3b3d39d577a191103c93a0382a,726,-0.008110385961375588,-0.002822662251806163,0.031272859792681955,0.21279742241007782,0.027548209366391185
0035,discard,"Exit persistence with holding discipline: RSI14<30 entry, >70 exit,20-session cap; combines longer rebound capture with time control.",edddd3d93e142390cf752f1d221b13ae7d2f9ef574b9da7c115bff20acdef63a,726,0.24207705261805468,0.07815116846949666,0.7735362395281802,0.09868027097986132,0.01928374655647383
0036,discard,Price recovery exit: RSI14<30 entry then5% rise from entry signal close or20-session cap; compare oscillator-based exit. Execution remains next open.,09b77b741fb243b43560d8e4df15a63aec53f4d117de212061a35b3db741c5c7,726,0.20776639137594954,0.06771879674578107,0.796510723946779,0.08190294639555451,0.01928374655647383
0037,discard,Price recovery exit: RSI14<30 entry then10% rise from entry signal close or20-session cap; compare oscillator-based exit. Execution remains next open.,f31c3fa72611d322bb1ad9253e41e33eecad202eafa6ce0c9755afe5b14c209b,726,0.2254250329100962,0.07311184059051179,0.7578777419567349,0.0986802709798611,0.01928374655647383
0038,discard,"Rebound trailing exit: RSI14<30 entry, 4% decline from observed closing peak exits,20-session cap; no RSI take-profit.",dfeff53def19c9830ee667fd24252da768621a20973c238c4c3a67036f6fb721,726,0.07116547024988606,0.024149684610321964,0.29915021865567776,0.130496098095504,0.024793388429752067
0039,discard,"Rebound trailing exit: RSI14<30 entry, 6% decline from observed closing peak exits,20-session cap; no RSI take-profit.",b94fdbe33ce66f79035681a2ae7e74758e61ce37a8985163eb5b79fe95732b85,726,0.16620149098537862,0.054818190258079325,0.5941190013789904,0.14744640109140694,0.01928374655647383
0040,discard,"Recovery confirmation: RSI14 below30 arms entry, crossing back above30 enters; >55 or20sessions exits; avoids immediate catching of declines.",0dc7df3653aac2bf7f20046466bb6d0fbe0e0ea4fcbf1e654c5347b192ad6053,726,0.07642855607567789,0.025893562102932588,0.3400258184050784,0.13686677609583997,0.01652892561983471
0041,discard,Broaden entry using independent price stretch: RSI14<30 OR close5% belowSMA20; exit RSI>55 or20sessions.,8f33bbe5c3919361314d01c5077fac81054c1359c3845b3da1917bb88ef8830d,726,0.23307458419911953,0.07543230680953394,0.7499042665024387,0.09868027097986098,0.02203856749311295
0042,discard,Equal sleeves: half RSI14 30/55 20-day reversal and half positive MACD DIF+histogram trend; weights remain capped at100%.,0962c4dc8634e2798379a924d49fb5fd81cd78c5bddee1e52c29e41969835191,726,0.15726500912658303,0.05200548544300099,0.7112669885870936,0.12561658083104954,0.03970612190406813
0043,discard,"IBS-only reversal: IBS<0.2 entry, IBS>0.8 exit or5-session cap. Method source: Alexander Soffronow Pagonidis,The IBS Effect,2013 (NAAIM2014 copy),https://www.naaim.org/wp-content/uploads/2014/04/00V_Alexander_Pagonidis_The-IBS-Effect-Mean-Reversion-in-Equity-ETFs-1.pdf ; adaptation from ETF close-to-close to index next-open execution, no assumption of transferability.",8838cca60a9a6af42dbcb0592f0964c0910582714c035919e9f7cc6669bc9cf6,726,0.07675121351978964,0.026000290555288297,0.2564783747062649,0.1951200909317391,0.3002754820936639
0044,discard,"IBS confirms oversold: RSI14<30 and IBS<0.3 entry; unchanged RSI>55 exit and20-session cap. Method source: Alexander Soffronow Pagonidis,The IBS Effect,2013 (NAAIM2014 copy),https://www.naaim.org/wp-content/uploads/2014/04/00V_Alexander_Pagonidis_The-IBS-Effect-Mean-Reversion-in-Equity-ETFs-1.pdf ; adaptation from ETF close-to-close to index next-open execution, no assumption of transferability.",503206eb593ea44bd40a12b2403daf21bd997bb68c7c4bfde08c0d1ec3be369d,726,0.14139718557033398,0.04697603178015264,0.5461284486327646,0.0986802709798611,0.01652892561983471
0045,discard,"IBS rebound exit: RSI14<30 entry; IBS>0.8 exit or20-session cap. Method source: Alexander Soffronow Pagonidis,The IBS Effect,2013 (NAAIM2014 copy),https://www.naaim.org/wp-content/uploads/2014/04/00V_Alexander_Pagonidis_The-IBS-Effect-Mean-Reversion-in-Equity-ETFs-1.pdf ; adaptation from ETF close-to-close to index next-open execution, no assumption of transferability.",34b1e90efadb0fbb078a98348e19e6274e417c1f116a00d04545840fca989a79,726,0.06578416875394377,0.022360843578222767,0.38241177513690344,0.04897553840037561,0.027548209366391185
0046,discard,"Train-only ridge model:15 price/momentum/RSI/volatility/OHLC/native-volume features; training-only standardization,4SD clipping,return winsor5%; ridge=0.1,entry=0.0005,500-session recency decay=False,asymmetric/interacting features=False. Coefficients fixed before validation; zero prediction exits.",0e4ffadf0e0bfefa4d77b91c5a6b2b610db9dc12e147ef9fb853d0e71f299c87,726,-0.0939699421359419,-0.03367352193466144,-0.11722421940129535,0.20801479264729195,0.3884297520661157
0047,discard,"Train-only ridge model:15 price/momentum/RSI/volatility/OHLC/native-volume features; training-only standardization,4SD clipping,return winsor5%; ridge=1.0,entry=0.0005,500-session recency decay=False,asymmetric/interacting features=False. Coefficients fixed before validation; zero prediction exits.",f9f5e4ebf6bae0f0228587b70615fde40e848e241e2f1e28ad416311fd2143aa,726,0.17369580427397846,0.05716615174509099,0.4077712435995748,0.16695264025803935,0.3581267217630854
0048,discard,"Train-only ridge model:15 price/momentum/RSI/volatility/OHLC/native-volume features; training-only standardization,4SD clipping,return winsor5%; ridge=0.1,entry=0.0015,500-session recency decay=False,asymmetric/interacting features=False. Coefficients fixed before validation; zero prediction exits.",4782bf1788a1fe46de8cf0976089c903784429f81004f01e166f356f360ac3b4,726,-0.11964251201137333,-0.043267011223528495,-0.20625144920565078,0.17694966175799964,0.25068870523415976
0049,discard,"Train-only ridge model:15 price/momentum/RSI/volatility/OHLC/native-volume features; training-only standardization,4SD clipping,return winsor5%; ridge=0.1,entry=0.0005,500-session recency decay=True,asymmetric/interacting features=False. Coefficients fixed before validation; zero prediction exits.",f5ba4d1585e3e5994aa9e0fa867b0bea329f9bc1113ddca8dfd09ef734c6bd69,726,0.0969697453040681,0.03264693871786539,0.27908494594490724,0.25985573017649444,0.4490358126721763
0050,discard,"Train-only ridge model:15 price/momentum/RSI/volatility/OHLC/native-volume features; training-only standardization,4SD clipping,return winsor5%; ridge=0.1,entry=0.0005,500-session recency decay=False,asymmetric/interacting features=True. Coefficients fixed before validation; zero prediction exits.",da0d56229043f578d6281c73bad9f057c1ebca0e3b4d8c16ebd4db9efa0fbe34,726,-0.04810887016350118,-0.01696838431943981,-0.016282808615758683,0.18860228532416345,0.38292011019283745
0051,discard,"Train-only ridge model:15 price/momentum/RSI/volatility/OHLC/native-volume features; training-only standardization,4SD clipping,return winsor5%; ridge=0.1,entry=0.0005,500-session recency decay=True,asymmetric/interacting features=True. Coefficients fixed before validation; zero prediction exits.",5772c85e3b7eedf6ab175dbe1bcecc149acb294fb86a77e26c77b38e814588d8,726,0.02035698752835491,0.007019624200032215,0.1231326889277179,0.25875756130257577,0.43526170798898073
0052,discard,Ridge1 model signal stabilization: EMA3 of observable predictions before5bp entry/0 exit; coefficients and normalization remain trained only on2010-2019.,b68a07d2177cddefffb6b0854dc92ad2135b8bfc8a774a6b45fe8478349a6d87,726,-0.037336058863485455,-0.013120910429962995,0.020232935453912217,0.20039340092922397,0.12672176308539945
0053,discard,Ridge1 model signal stabilization: EMA5 of observable predictions before5bp entry/0 exit; coefficients and normalization remain trained only on2010-2019.,554c094f4671c9b33f74e709626a48272836e68f576824ab1f868b1927754a84,726,-0.13528229028348215,-0.049201213882911765,-0.18544361919442998,0.2623049683582944,0.07988980716253444
0054,discard,"Ridge1 model cost-aware hysteresis: enter prediction>10bp, exit<-5bp; widen no-trade band to reduce daily turnover.",8a342c6abf0f0b7232aaa6fc1d5850c0adcdffa69541f9dd4271077f59d345b7,726,0.02569020573190217,0.008843517951752311,0.13988077182081676,0.18976979780329062,0.14600550964187328
0055,discard,"Ridge1 model minimum holding: retain selected exposure at least3 sessions before allowing negative forecast exit, testing transaction-cost reduction.",cb438e515123892c103658f886cb2aafa154d7d840fe2df42ad8a87c6671fbfc,726,0.030453193651106103,0.010467173227424853,0.1502274970745833,0.29126393599637657,0.25068870523415976
0056,discard,"Train-only multi-session forecast: compound5 consecutive training forward returns,drop trailing incomplete labels,20% winsorization,ridge1 feature model; entry>25bp,negative forecast exit,min holding0. No horizon extends outside training.",1efa01c21a69e60f3fabda566fa2de7ea98c36934c039304172cde696ce38282,726,0.04552981832881198,0.015574567112365045,0.17685212804750167,0.21224276240631534,0.10192837465564739
0057,discard,"Train-only multi-session forecast: compound10 consecutive training forward returns,drop trailing incomplete labels,20% winsorization,ridge1 feature model; entry>50bp,negative forecast exit,min holding0. No horizon extends outside training.",0a05c4fadc8faa8a53b853a43cfbfd607f0ed097c84199cfe76ff4dd10920c8a,726,-0.14498433097303942,-0.05291775488724293,-0.22802111922515683,0.30382101645097936,0.027548209366391185
0058,discard,"Train-only multi-session forecast: compound20 consecutive training forward returns,drop trailing incomplete labels,20% winsorization,ridge1 feature model; entry>100bp,negative forecast exit,min holding0. No horizon extends outside training.",1839a8cf8df646f57479d19e35267c70ad9a8e14f2ca568694accf99a0a0ff7c,726,-0.2006753937243131,-0.07480240947906402,-0.36945954779211415,0.36315532268590933,0.01928374655647383
0059,discard,"Train-only multi-session forecast: compound5 consecutive training forward returns,drop trailing incomplete labels,20% winsorization,ridge1 feature model; entry>25bp,negative forecast exit,min holding3. No horizon extends outside training.",5020e5b974c923dda2a63f3606c2f32411b6b0c58428c700dc5c7dde362251cf,726,0.02813849335907226,0.00967872828886418,0.14304651062764365,0.2219313433966612,0.09090909090909091
0060,discard,"Train-only multi-session forecast: compound10 consecutive training forward returns,drop trailing incomplete labels,20% winsorization,ridge1 feature model; entry>50bp,negative forecast exit,min holding5. No horizon extends outside training.",aa3fa8449a88d424f4b90a4f7428b62dca7a01d2f3be0ae09b2c749a2129a968,726,-0.14498433097303942,-0.05291775488724293,-0.22802111922515683,0.30382101645097936,0.027548209366391185
0061,discard,"Train-only multi-session forecast: compound20 consecutive training forward returns,drop trailing incomplete labels,20% winsorization,ridge1 feature model; entry>100bp,negative forecast exit,min holding10. No horizon extends outside training.",aa80761403ac5af8a01646372c6de19817f92895036ebb56c621dafa2d84ac56,726,-0.2824650321973191,-0.10882692328915167,-0.5514916437596782,0.3737266668272864,0.01928374655647383
0062,discard,"Adaptive oscillator level: enter RSI14 below prior60-observation10th percentile,exit above prior median or20-session cap; measures relative oversold conditions across regimes.",7e2b498a1aef7850b28c97c07bba430b4d1ec6cd63cc5c7e6d2c9f09d90ba60a,726,0.11832575195580408,0.03958122404333242,0.3850031799952383,0.11072280258320122,0.05509641873278237
0063,discard,Adaptive oscillator standardized surprise: RSI14 more than1.5 prior60-observation standard deviations below mean enters; mean recovery exits or20session cap.,f2b793b1ef8e5f583bb78a5f1c5131a19850cdd6678c5bbb45f280f629ba84fa,726,0.04356111919700467,0.014910387082228027,0.19037427121092226,0.19114163046459587,0.03305785123966942
0064,discard,"Slower oscillator reversion: RSI28 below35 enters,above55 exits or20session cap; tests less sensitive oversold regime measurement.",4e1e460f3965df343483923e99059141a90d58bc894f6bf44bf5964873fc7bcf,726,0.06946119468787781,0.023583789011815792,0.3369032371516519,0.10224741493691758,0.011019283746556474
0065,discard,Drawdown recovery confirmation: index8% below prior60 closing high and positive3-day momentum enters; recover SMA20 or20session cap exits.,bdb1e8023263ed8d4e725215fe7a33d12a27daf8cda3204e530725ce09e354fd,726,-0.0324368818629881,-0.011380481879860072,-0.06882626939046387,0.18813336623754984,0.1046831955922865
0066,discard,"Train-only nonlinear regime model:20 bootstrap regression trees,depth2,minleaf60,5 random features per node,4 quantile splits,seed711,zero-shrunk leaf predictions. Target1-session training return; entry>5bp,exit<0;tree agreement filter=False. No date features or validation fitting.",23a12c17007bc937e4403e9f84a636efe006af610a5df653d97996331c3b696e,726,0.2243454360327466,0.07278358757537551,0.5905398775193565,0.15158735557237912,0.21212121212121213
0067,discard,"Train-only nonlinear regime model:20 bootstrap regression trees,depth4,minleaf60,5 random features per node,4 quantile splits,seed711,zero-shrunk leaf predictions. Target1-session training return; entry>5bp,exit<0;tree agreement filter=False. No date features or validation fitting.",049bd2035401a1b40f209bd331c863c97ab2a9166bb9f9f1afce1bfe1d2505eb,726,0.15660941172218834,0.05179858250331604,0.4359451723350694,0.13050921747752664,0.25068870523415976
0068,discard,"Train-only nonlinear regime model:20 bootstrap regression trees,depth3,minleaf120,5 random features per node,4 quantile splits,seed711,zero-shrunk leaf predictions. Target1-session training return; entry>5bp,exit<0;tree agreement filter=False. No date features or validation fitting.",1a6ffd6723adafbf4e52628ddc6e87b26f1c57a3de16a1b0f633d2088a5cf066,726,0.08229282020668305,0.027830090168445176,0.25631445346473325,0.16718192384257857,0.3002754820936639
0069,discard,"Train-only nonlinear regime model:20 bootstrap regression trees,depth3,minleaf60,5 random features per node,4 quantile splits,seed711,zero-shrunk leaf predictions. Target5-session training return; entry>25bp,exit<0;tree agreement filter=False. No date features or validation fitting.",4e9bca7b28f0dc3bb9c8eb3c5bb4909ceba698fafdd4afe13c5256a2cc1f36e4,726,0.12316728357603113,0.04114122205595572,0.39285986053140554,0.16652060108886824,0.09090909090909091
0070,keep,"Train-only nonlinear regime model:20 bootstrap regression trees,depth3,minleaf120,5 random features per node,4 quantile splits,seed711,zero-shrunk leaf predictions. Target5-session training return; entry>25bp,exit<0;tree agreement filter=False. No date features or validation fitting.",3c7a011d20c64e45909bb6b9bc72b7e1382065e2cc19b98348d4ab73da20b9d9,726,0.31109856237248135,0.09858104625969988,0.7707522852053549,0.15569185450322587,0.09917355371900827
0071,discard,"Train-only nonlinear regime model:20 bootstrap regression trees,depth3,minleaf60,5 random features per node,4 quantile splits,seed711,zero-shrunk leaf predictions. Target1-session training return; entry>5bp,exit<0;tree agreement filter=True. No date features or validation fitting.",54edaf04f53d2844d8687c9c334740480528a3b9a9ea0d1b4cb67c98e00649d5,726,0.24060794302270327,0.07770835889787353,0.6345634444366205,0.12809350691750843,0.22589531680440772
0072,discard,Five-day forest agreement check: require at least60% positive trees for entry; otherwise retain20-tree depth3 minleaf120 model.,59391be6a8b20fe89546d014c20608319775b27015099e20327f8efb3dc9a17b,726,0.31109856237248135,0.09858104625969988,0.7707522852053549,0.15569185450322587,0.09917355371900827
0073,discard,Five-day forest cautious entry: double expected-return hurdle from25bp to50bp to emphasize stronger training-learned opportunities.,ac035779391b9f43d8eefc6d7af76dfce476f68e46b59f967cba14111aa81ec1,726,0.07871515643135085,0.026649472581960154,0.3103619429441073,0.09663035304976653,0.04132231404958678
0074,keep,Five-day forest broader entry: lower expected-return hurdle from25bp to10bp; investigate missed low-amplitude opportunities.,3cf0d148029295284fd0261e1e7277e7420cf026baded07b501ebb5cdb6bea85,726,0.5480550957994492,0.16379443373695057,1.0013577224619412,0.16340042007577626,0.26170798898071623
0075,discard,Five-day forest stronger support: raise minimum leaf size from120 to180 while holding other model choices fixed.,db1c4e184db534dd46a28641b49a3ca0f52a74953dc202c035db59a2c8230c37,726,0.06822423622773521,0.023172694711531605,0.24415516234360934,0.23276704941209247,0.09917355371900827
0076,discard,"Signal complementarity: union allocation combining train-only five-day forest and RSI14 30/55 reversal with20-session cap; independently tracked states,maximum100% index exposure.",8b3011f0cdc76caba41925d8699c4f1f1088385723448d3575553fae3975d154,726,0.37863414741900625,0.11790216182589885,0.8404424152963551,0.16427025287834718,0.06887052341597796
0077,discard,"Signal complementarity: equal allocation combining train-only five-day forest and RSI14 30/55 reversal with20-session cap; independently tracked states,maximum100% index exposure.",6a4f13046fc2f368bcdd2dbe4b00f592cdbe471e1aff833c00f63759ecc52c02,726,0.2922890873360544,0.09308459097092814,0.9338074705233204,0.08887177683113834,0.060000943994760435
0078,discard,"Forest stability check: expand20 to60 trees with the same seed711 sequence,5-session target,depth3,minleaf120 and10bp entry; reduce bootstrap Monte Carlo variation without seed selection.",86106e7b9a30282deb74252c1af7f7549c8f739ee6eb1cbed73dca20c3bc35da,726,0.4574664110069062,0.13968878640096838,0.8808362065909991,0.1605866893720097,0.26170798898071623
0079,discard,"Forest stability check: expand20 to100 trees with the same seed711 sequence,5-session target,depth3,minleaf120 and10bp entry; reduce bootstrap Monte Carlo variation without seed selection.",067a4a4b2a446cf062e634a7132c0380a6a1f237c305bae2a2646bfaaf6e14a5,726,0.29195142146227115,0.09298544336444614,0.6184189834738455,0.231997775814895,0.24242424242424243
0080,discard,"Forest structural sensitivity: depth2, retaining minleaf120,5-day target and10bp entry; test simpler versus more conditional rules.",7ad6e6d6b89f0158d5ee7b9bfe73010ef12f11ecaaf9fd81115281d99bfa2429,726,-0.06365302753982038,-0.022570360271089274,-0.03280814351247951,0.22506172397544788,0.19834710743801653
0081,discard,"Forest structural sensitivity: depth4, retaining minleaf120,5-day target and10bp entry; test simpler versus more conditional rules.",18c3b0e9e9d2661b8730ec9d82d888175e8a7191c6e31fbb792e4d579aef289c,726,0.2949929078694822,0.09387789468594021,0.6018117668658988,0.175586041085405,0.25895316804407714
0082,discard,"Forest forecast horizon sensitivity: train-only3-session compounded returns,retaining20trees/depth3/minleaf120; entry hurdle remains2bp per forecast day.",ac6b294f280836a864d7e42fac9a01b7100f985d8a583bf4ce7728fd31cd4f09,726,0.18127786137155,0.059531663426374504,0.427771907132435,0.1852598513106023,0.2809917355371901
0083,discard,"Forest forecast horizon sensitivity: train-only10-session compounded returns,retaining20trees/depth3/minleaf120; entry hurdle remains2bp per forecast day.",1b02143f3ade19361f5c26c8c2b73b3f0171cfd20992465923dd8a0365556dee,726,0.24114904064741927,0.07787149287212713,0.5598673407141438,0.21965178180963763,0.1322314049586777
0084,keep,Combine broader-entry forest champion with RSI reversal viaunion; both states tracked independently and maximum exposure100%. Unlike prior ensemble this uses10bp forest entry.,25bb4a7c06d294485e7eb16e5ca573f475cbda6d7256aa6f9b80a3c374a853cb,726,0.5876591266133477,0.17404390878788423,1.0180235056443878,0.16772982417386717,0.21763085399449036
